country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","12-04-2026 12:00:00",28.7256504,77.2011573,PM10,86,237,143
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","12-04-2026 12:00:00","28.594169 ","77.125100 ",NO2,9,121,50
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","12-04-2026 12:00:00",28.656756,77.227234,PM10,127,328,181
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","12-04-2026 12:00:00",28.656756,77.227234,SO2,13,25,17
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","12-04-2026 12:00:00","28.615828 ","77.271992 ",PM2.5,31,351,135
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","12-04-2026 12:00:00","28.615828 ","77.271992 ",NH3,2,7,4
India,Delhi,Delhi,"DTU, Delhi - CPCB","12-04-2026 12:00:00",28.7500499,77.1112615,NO2,9,36,20
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","12-04-2026 12:00:00",28.5710274,77.0719006,NO2,27,108,52
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","12-04-2026 12:00:00",28.5710274,77.0719006,SO2,10,54,22
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","12-04-2026 12:00:00",28.5627763,77.1180053,PM2.5,25,345,104
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","12-04-2026 12:00:00","28.493624 ","77.201159 ",PM2.5,23,372,153
India,Delhi,Delhi,"ITO, Delhi - CPCB","12-04-2026 12:00:00",28.628624,77.241060,SO2,15,35,26
India,Delhi,Delhi,"JNU, Delhi - DPCC","12-04-2026 12:00:00","28.540721 ","77.168544 ",PM10,65,228,130
India,Delhi,Delhi,"JNU, Delhi - DPCC","12-04-2026 12:00:00","28.540721 ","77.168544 ",NH3,2,5,3
India,Delhi,Delhi,"JNU, Delhi - DPCC","12-04-2026 12:00:00","28.540721 ","77.168544 ",SO2,16,37,18
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","12-04-2026 12:00:00",28.695381,77.181665,OZONE,7,79,30
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","12-04-2026 12:00:00",28.4706914,77.1099364,PM10,76,309,139
India,Delhi,Delhi,"DTU, Delhi - CPCB","12-04-2026 12:00:00",28.7500499,77.1112615,OZONE,28,31,30
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","12-04-2026 12:00:00",28.498571,77.264840,CO,42,113,70
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","12-04-2026 12:00:00","28.493624 ","77.201159 ",NH3,1,5,4
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","12-04-2026 12:00:00",28.542460,77.191651,NO2,21,93,57
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","12-04-2026 12:00:00",21.371751,81.664929,PM2.5,40,291,150
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","12-04-2026 12:00:00",28.732820,77.170633,NH3,11,17,15
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","12-04-2026 12:00:00",28.6573814,77.1585447,OZONE,6,113,28
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","12-04-2026 12:00:00",28.530785,77.271255,PM10,104,292,159
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","12-04-2026 12:00:00",28.623763,77.287209,PM2.5,30,367,119
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","12-04-2026 12:00:00",28.623763,77.287209,NH3,7,9,8
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","12-04-2026 12:00:00",28.674045,77.131023,NO2,14,74,37
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","12-04-2026 12:00:00",28.674045,77.131023,OZONE,5,53,26
